> sim2$epi$i.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1    50   50   50   50   50   50   50   50   50    50
2    59   58   58   62   62   49   64   53   56    55
3    56   66   75   64   64   70   62   50   58    63
4    59   66   91   71   73   81   75   61   58    53
5    51   74  103   81   75  114   80   64   49    55
6    50   85  121   83   66  130   77   70   61    61
7    48  112  144   87   60  140   66   76   69    62
8    49  120  167   83   55  158   78   87   84    64
9    53  122  177   84   50  174   86   87   83    65
10   61  132  194   84   47  185   80   88   82    60
11   76  138  205   88   55  189  102   89   77    62
12   83  143  201  104   65  190  133  108   97    65
13   94  135  198  130   60  204  149  118   96    73
14   75  136  201  120   59  199  158  125   92    77
15   78  151  204  122   62  202  165  152   86    78
16   80  153  215  126   54  216  169  167   95    79
17   78  176  228  110   56  239  162  181  104    75
18   80  170  240  112   68  229  144  180  115    75
19   83  148  196   89   64  217  154  194  105    82
20   93  139  169   96   69  207  172  198  111    90
21   86  146  158  100   69  173  157  198  111    93
22   97  133  149  105   67  160  160  190  120   103
23  104  135  145  111   66  145  159  185  128   104
24  124  125  149  103   62  142  154  176  125   116
25  126  123  156  108   53  135  165  171  112   115
26  118  126  132  112   57  116  155  151  129   112
27  116  123  131  109   60  100  152  149  126   123
28  122  112  114  113   53   92  155  140  131   116
29  118  107  117  110   45   86  163  122  125   113
30  129   91  110   97   45   80  167  119  122   102
31  133   79   93  101   42   70  163  103  132   100
32  125   81   83  106   39   76  157   98  142    83
33  115   82   69  111   35   72  142   96  144    90
34  109   76   47  112   41   68  132   89  141    92
35  101   71   38  103   41   65  120   80  137    79
36   97   61   38   95   37   58  106   71  137    79
37   95   65   41   82   42   49   98   51  122    80
38   93   57   37   81   44   45   98   42   93    71
39   89   52   36   82   47   38   90   30   93    67
40   93   44   33   79   41   35   73   28   79    61

> sim2$epi$r.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1    30   30   30   30   30   30   30   30   30    30
2    73   75   80   77   62   76   65   72   72    71
3   119  129  125  127  116  115  116  118  118   117
4   156  175  191  181  167  176  161  158  157   177
5   215  240  277  237  231  239  226  214  217   225
6   257  304  353  312  302  340  287  263  248   270
7   292  376  439  376  379  451  351  321  306   327
