> sim2$epi
$s.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1  9920 9920 9920 9920 9920 9920 9920 9920 9920  9920
2  9871 9852 9872 9878 9868 9873 9871 9869 9874  9864
3  9808 9779 9834 9833 9819 9837 9830 9826 9815  9804
4  9765 9728 9788 9780 9768 9804 9797 9776 9742  9743
5  9712 9670 9724 9733 9702 9775 9753 9734 9673  9676
6  9644 9600 9667 9697 9612 9746 9711 9673 9615  9603
7  9570 9512 9603 9654 9506 9718 9665 9604 9536  9512
8  9501 9415 9524 9608 9377 9692 9619 9533 9463  9424
9  9432 9311 9465 9546 9244 9661 9564 9474 9378  9340
10 9367 9214 9397 9474 9121 9626 9516 9406 9290  9237
11 9293 9127 9325 9402 8987 9587 9460 9342 9192  9129
12 9216 9025 9259 9307 8833 9540 9407 9274 9078  9011
13 9125 8920 9207 9218 8684 9494 9343 9205 8962  8874
14 9042 8813 9151 9126 8510 9462 9274 9115 8848  8725
15 8943 8698 9088 9051 8363 9423 9203 9015 8745  8580
16 8851 8583 9012 8962 8200 9383 9119 8902 8627  8437
17 8758 8467 8937 8885 8047 9326 9031 8786 8496  8287
18 8649 8329 8857 8808 7896 9278 8961 8675 8377  8158
19 8560 8195 8761 8730 7727 9219 8880 8543 8269  8024
20 8476 8070 8679 8673 7575 9157 8783 8395 8170  7903
21 8392 7949 8594 8604 7441 9086 8686 8276 8075  7772
22 8300 7845 8508 8544 7320 9010 8581 8156 7980  7634
23 8212 7752 8425 8468 7207 8936 8481 8069 7908  7510
24 8130 7650 8341 8396 7100 8871 8376 7966 7815  7383
25 8069 7556 8258 8318 7017 8783 8285 7859 7726  7255
26 7985 7458 8183 8250 6943 8715 8197 7744 7643  7138
27 7911 7379 8095 8178 6861 8645 8110 7657 7555  7038
28 7831 7289 8016 8108 6808 8587 8029 7579 7463  6953
29 7773 7212 7942 8042 6749 8504 7941 7493 7365  6876
30 7718 7158 7877 7957 6700 8408 7861 7418 7274  6823
31 7654 7094 7806 7885 6666 8321 7796 7360 7190  6767
32 7599 7037 7739 7805 6627 8230 7722 7287 7098  6714
33 7556 6989 7672 7725 6602 8155 7668 7223 7020  6661
34 7498 6937 7592 7645 6577 8070 7611 7164 6953  6617
35 7430 6877 7521 7572 6560 7975 7565 7113 6899  6573
36 7368 6821 7456 7505 6541 7880 7513 7056 6850  6549
37 7310 6768 7390 7445 6527 7797 7466 7002 6798  6528
38 7250 6737 7327 7384 6515 7705 7420 6952 6733  6510
39 7193 6705 7276 7319 6506 7620 7370 6917 6692  6498
40 7153 6674 7218 7251 6492 7540 7330 6883 6645  6487
41 7114 6650 7157 7186 6478 7439 7314 6857 6613  6476
42 7068 6631 7101 7127 6467 7345 7296 6826 6576  6472
43 7030 6608 7060 7082 6456 7260 7278 6807 6549  6468
44 6988 6588 7021 7043 6449 7179 7257 6786 6518  6462
45 6955 6563 6983 7005 6439 7097 7243 6770 6481  6459
46 6922 6545 6947 6970 6433 7028 7226 6752 6454  6454
47 6891 6527 6927 6949 6427 6965 7217 6732 6426  6451
48 6856 6512 6901 6913 6423 6897 7204 6706 6407  6444
49 6826 6505 6877 6893 6417 6835 7195 6678 6383  6441
50 6795 6503 6858 6872 6414 6786 7185 6651 6366  6439
51 6767 6497 6850 6856 6409 6746 7177 6625 6353  6435
52 6740 6485 6842 6838 6407 6719 7168 6596 6335  6432
53 6720 6476 6834 6813 6403 6690 7166 6576 6323  6431
54 6699 6467 6825 6797 6400 6669 7164 6561 6313  6429
55 6671 6461 6820 6782 6397 6649 7160 6541 6307  6428
56 6646 6454 6818 6759 6397 6627 7157 6528 6301  6427
57 6621 6440 6810 6747 6397 6614 7156 6519 6297  6427
58 6594 6431 6803 6739 6396 6600 7155 6511 6292  6427
